sentence id,text,sentiment,topic
314,"Woohoo, just added another series to my library list.  This is exactly the kind of books I like:  dominant alpha male possessive over his mate.  Tienan is a trained killer, but he feels a protectiveness towards Silence from the moment they meet.  And of course, the meeting was perfect.  Silence was tracking him to give information to the leader of the Resistance (her adopted brother), but the hunted became the hunter.  And the game is on!!  This was a very good read.  Anyone who likes dark cold mysterious guys who finds that one woman to soften them, will love this story.  Now I'm moving on to the second story in this series.",positive,book
391,"Dylan Gennaro is a beta werewolf who spent years under a vicious alpha who enjoyed nothing more than hurting others.  It isn't until his friends and new home is threatened by Alan Matthews does he finally take a stand and kill his former pack leader.  Even now in is new home of Red Rock and under a much more kind alpha, Dylan is still pained by is inner scars from his previous life.  He does not just want to sit around and be taken care of by others but wants to help and be of use.Sasha Wallace watched as her mentor was savagely murdered and left with a few scars of her own but it's the ones that she can't see that hurt her more.  The citizens of Red Rock make her feel nervous and is under constant watch because of her magic.  One of the few that is able to calm and make her feel at ease is Dylan.  He saved her life and sees her as more than just a witch.  With every passing moment that they spend together, their attraction for one another grows.  But will Sasha stay in Red Rock long enough to explore her desire and feelings for Dylan or will she flee the moment she has repaid her debt?Dylan has been a character I've been interested in since the beginning of the series.  He is unselfish and will do whatever he can to help in the war with his former pack in Helena.  My only complaint is that I think he takes on too much of the blame.  He blames himself for what happen to Abby (story in Cry Sanctuary), her sister Brynn (story in Sanctuary Lost) and for the entire war.  It isn't until Sasha comes in that he finally takes a break from the self blame and his character becomes more than it has been.  He is not an alpha wolf but Sasha brings his wolf closer to the surface and I like that.  Sasha had been badly hurt and is terrified but with Dylan she is able to relax and feel safe and confident again.  There is some fight when it comes to admitting how she really feels (isn't there always?) but together, they begin to heal each others wounds.  I think what I like most about their relationship is that Dylan isn't dominate like an alpha would be toward his mate.  Not that there aren't protective instincts in him and he does want it known she is his, its just since he is more gentle with her the relationship is more charming and sweet than the ones in the previous books.Their relationship isn't the only event going on in the book.  It is brought to everyone's attention that there is an evil vampire working against them in the war.  Dylan and Sasha along with Joe and Brynn are sent to seek help from a vampire friend of Red Rock's alpha Gavin that lives in Maine.  When they get there they see that the pack has their own crises they are dealing with that includes an alpha trying to take over the pack and a female vampire that has an eye out for the blood and power inside of Brynn.  It was good to see Joe and Brynn again.  I enjoyed reading their story in Sanctuary Lost and I like to see my favorite characters make an appearance.  Brynn suffered a lot in the previous book and I liked that her and her struggle were included in this book.  I think I would have been a little disappointed if it wasn't.This book has a bit of everything.  Action, romance, steamy love scenes and sarcasm which is always one of my favorite things to read.  Sanctuary's Price is the third book in Moira Rogers' Red Rock series and is so far my favorite.  Each book is better than the one before and I have yet to be disappointed by anything from them.  I'm addicted to their characters, story and the world they built.  I can't wait for the the next installment in the Red Rock Series, Sanctuary Unbound.  Two words, lumberjack vampire.  Yup, not making that one up.",positive,book
424,"I loved this book. The characters, J.T and Nikki are great. It is definitely hot and steamy. The story keeps you going and has surprises along the way. I would definitely recommend.",positive,book
438,"Simply put, this was been the best .99 novel I've read yet.  Solid writing, excellent pace, non-cookie cutter characters - who wouldn't love a protagonist with an opium addiction?  I want to have a beer with Mr. Tangerine.  And the cover?  What's wrong with the cover?  It's a beach, get it?  I would have paid $4.99 and not been disappointed.I don't understand what everyone wanted at the end?  Some big confrontation with the mine setter?  A shootout that ends in the death of the evil doer.  C'mon people, what's wrong with changing it up?  A little variety; an odd twist.",positive,book
539,wow! did this singe the eyebrows. really good price and service. did not take long to get it. my friends are taking turns borrowing it.,positive,book
543,"How anyone could possibly complain about getting the original ""The Wonderful Wizard of Oz"" and the succeding 13 sequels with one click for 95 cents is beyond me. My 10 year old read a paperback copy of The Wonderful Wizard of Oz"" as part of an over-the-summer reading assignment prior to entering the 5th grade. He enjoyed it very much, as I did a long time ago>  When I told him that there were 2 or 3 sequels, he was surprised (""Why didn't they make them into movies too, Dad?"") and asked for them.  When I looked them up on Amazon *I* was surprised to find out that there were 13 of them and that I could get them all for my Kindle for $0.95. Click and I had them, and Jacob has read the first 3 or 4, and now I have to fight him for my Kindle.  A better buy you will never make.Highly RecommendedJM Tepper",positive,book
554,"This is not a criticism. Knowing (and loving) Nero Wolfe and Archie Goodwin as I do, it made the stories even more enjoyable for me.Just like Wolfe, Wistril is rotund, loves to eat, loves to drink beer, and spends his time reading. He also, just like Wolfe, says, ""Bah,"" ""Pfui,"" ""Flummery,"" and ""Confound it."" Not to mention they both bellow.Archie, as Kern, does all the legwork and gets all the best wisecracks.  He even takes a stack of papers out of his desk, just as Archie does.We had horrendous thunderstorms today, and it was a perfect time to lose myself in the land of Kauph with Wistril and Kern and all the gargoyles. Hoot (read it to understand).I only gave this book 4 stars because of minor editing and continuity errors. I would like to have given it 4.5.I will certainly read the next one.",positive,book
559,"Very brief story.  Enjoyable but not a lot to it.  The hero and heroine have been married long enough to fall into a rut.  The husband, a twin, has always wondered whether his wife might have preferred his brother (because the twins had swapped places a couple of times during the married couples courtship because the husband has always felt less socially adept than his twin).  The heroine has always been able to tell the difference between the twins and has never doubted she married the twin that she wanted to marry.  Still, they've settled into comfortableness and she wants passion (and she fears her husband may have strayed --though he hasn't).  Over breakfast she makes an outrageous statement about possibly taking a lover, jolting her loving if inattentive  husband into action.Nice story. Loving couple. It's just a short story, however.",positive,book
574,"I have read all seven books in this series. Apocalyptic/Adventure is one of my favorite genres, therefore this series is a good fit for me. I enjoyed the optimism coming out of tragedy. Also, the martial arts scenes were very well done. I am looking foreward to more books being added to this series. I have found that Mr. Sides is an excellent story teller. The characters become better defined with each book. If you do not enjoy action and adventure, with an apocalyptic twist, this is not the series for you. On the other hand, if you do like that kind of story, this series is well worth the time and money.",positive,book
591,"This was a different ""end of the world"" synopsis. No zombies, pandemic, or virus. You can guess- it is a fog. The  children grow up as young adults in this book, which I found wonderful! A refreshing read. You will see the endurance of the human spirit and can easily see what could happen in these circumstances. Not the ""fog"", but if any children were left to their own devises for a long period of time.Several people have made negative statements about a kid of 16 pairing with another, about age 27 years old. That would not be uncommon in this type of setting. The amount of people in this story are limited. Also, sexual desires often takes precedence over what would be considered normal. I never make comments of editing. I know any author is doing the best he can afford at the time.",positive,book
602,"Dealing with testy moral issues like assisted dying and euthanasia is never easy - but the story weaves these together with compelling arguments for and against in the guise of a tale that begins with a Grandmother's letter to her dropout net-surfing journalist-wannabe grandson and pits him with (initially) and then against his new romance; a human rights activist who turns out to be the very kind of person that the inventors of the Death Trip want to be rid off.Dealing with how society sees the burden of care being paid for and dealt with - our main character Chuck is torn between blowing the story of the big evil Pharmaceutical Company that wants to euthanise the undesirables and prove the activist right, or believe the softly insidious entreaties of the idea behind the science and the advances of the owner's daughter, with whom he has a torrid affair.A good story that walks the line between the issues well but does have an almost deliberately rushed ending, as if a Sequel was the obvious answer - I would still definitely recommend the Author.",positive,book
617,"Okay I like sharia writing, I don't care about the interracial aspect of the stories I'm in it for the romance. I like this book a lot. I need another book to tell the story of the cousin, seeing a lot of punishment and sex. And feed my breeding fetish with Dallas and Thane.",positive,book
658,I loved this story. The sex was HOT. This trio made a lovely m&eacute;nage. I look forward to more. It would be great to have the entire series in one collection.,positive,book
659,I love it.  If fits snugly into the Kindle Fire.  I wish the cord was a little longer so I can charge & use the device at the same time.,positive,book
687,"I see this as somewhat of a young adult novel.  I'll read anything as long as the story is good.It was predictable for some aspects, but that does not make it any less enjoyable.  I did not find it slow or boring.",positive,book
749,"The feel of time and place are so well developed I could almost smell the salt air.  Likewise, the characters had sufficient depth to make what happened to them matter.  The only criticism I have is the environmentalist agenda, while appropriate with the story context, came across as artificial which tended to detract from rather than add to the plot.",positive,book
765,"From beginning to end this was a fantastic book!  It had a bit of history, family values, empathy, and lots of love in it!  I don't think that there wasn't a minute while reading this book that I didn't feel happy, frustration, a bit of anger and in the end just good old fashioned the boy got the girl!  It was quite a read!",positive,book
798,"In the second installment of the Granite Lake Wolves series two high school sweethearts who have more in common than they ever could have imagined are reunited when one's life is threaten and another's is falling apart.Tad Maxwell is half wolf, half human and will not come into his wolf unless he has sex with someone else of his kind. But Tad refuses to give into his wolf and a meaningless liaison, his human side and principals rule too strong. And so he fights every day to bury that part of him. Until the girl he once loved shows up and turns his world upside down.Missy Leason is running from her pack and almost out of time. A viscous alpha wants to claim Missy and use her for her Omega powers, willing to break both human and wolf laws if that means a rise in his own power. Missy hopes that Tad can save her but that means confessing secrets and convincing him that they're more than just first mates, they're true mates. But when Missy's Alpha finds them she may not get the chance because Tad must face him in a fight...without the ability to shift into a wolf like his adversary.Wolf Flight was another great story from Vivian Arend, this time starring Robyn's (Wolf Signs) brother, Tad. With suspense and action that will keep you turning the pages for more and naughty sex scenes with frustrating tension, Wolf Flight had a fuller feeling to it then the first book in the series despite it's shorter length.Tad and Missy's story almost run side-to-side of Robyn and Keil's time-wise, so you get to see Tad's feelings on his sister's mating as well as his own. A sweet and likable character, I really enjoyed Tad. Missy was also a good character, determined and aggressive when it came to getting what she wanted (Tad) yet still soft and womanly. I'm looking forward to the next book!",positive,book
822,I read this several months ago but i did like it and I did finish reading it. I didn't find it boring or anything thought it was just ok,positive,book
825,I loved the story. The two main characters are so cute together. A bit of drama here and there buy I loved reading it.,positive,book
828,"This reads like a piece of literature. It is wordy, but it lends to the flavor of the times.  It was interesting how fossils were worked into this . It made me want to some research on the history of fossil quarries.",positive,book
894,"I enjoyed Deadly Deceptions.  However, I could not grade it higher because it did not have enough a story line, or enough plot. It left me somewhat expecting more to come.",positive,book
914,I love dragons and this story is one of the better ones with a whole different approach. It's full of what seem like original ideas to me.I'm so glad that the author didn't fall into the cliffhanger trap that so many apply to their series of books. This is a lovely story that stands alone but gives you enough enticement to go one to read the rest of the series.Nice easy to read writing style and good characterization - Well done Jenna.,positive,book
921,"Great novella, quick read and smoking hot as usual by Elle Kennedy! Good story. Don't miss out on another great story!!",positive,book
960,"This is my first Rachel Vincent to read, well technically listen to since I grabbed the free Audible audiobook. I was pleased with it. I didn't know if it was really the book for me. I do read in the genre, but was still hesitant.It's a great prequel in my opinion. It had just enough to keep me going along and ended with me wondering what'll happen next. I see myself grabbing book 1 in the future.",positive,book
971,"Set in futuristic Vegas, we find that ""Sin City"" has lost none of its debauchery and in fact has only added to the reputation that anything goes. When Payce Halligan is assigned a new partner she is understandably horrified, working alone has created a bubble where she is not responsible for the life or death of someone close in her work. After being responsible for the death of her prior partner and love she has hardened her heart and does not plan on changing that any time soon.  However, since she does answer to the head of the Las Vegas Police Department she gets no choice in the matter.Her newly assigned partner Gavin McAllister is a good looking trainee with a faint British accent. He is an addition to her work she is not sure she is ready for.When they are called out to three separate crime scenes, all with the same M.O. they find themselves on the path of a fanatical serial killer. Each of the victims is a young woman, hung upside down and crucified, left to bleed out and with initials carved into their bodies. The ritualistic killing makes Payce think of the Amazon Casino where Costumes are still used so this is where their investigation begins. Little do Payce and Gavin know that they are about to become the hunted in this bizarre fantasy being followed by a madman.PI Barrington brings to life a very real future. Her characters are very likable and have a great sense of humor even in the dire situations that they find themselves. The story is fast paced and hard to put down, move over J.D Robb, here comes another look at the future. A gritty Las Vegas is an exceptional setting and P.I Barrington has a knack of making you feel like you are there. This is a great book to ad to your library, you will love the interplay. I can't wait for the second installment.",positive,book
996,"It's the greatest. I can,t get enough of it. This is about family with the best connections ever much love from every one it does not matter if they just found out you are family real together bunch. When they fall in love it's forever and they make time for every one in every thing and every way don't matter how, when or where that's how committed they are to each other. Love",positive,book
1016,I love this book read it in 4 hours.I have already started on the next one. These books have it all don't want to give anything away. This is a must read! What are you waiting for get to it!,positive,book
1099,"This was a short, entertaining read. I don't know that I'd classify it as erotic but it is a steamy fantasy story. Dardanus is definitely an anti-hero and not exactly likeable in the beginning. Because of the short length of this story, it's hard to say much without giving away spoilers, but The Knife's Edge is a sensual read about Queen Nestra and Dardanus. While many in the kingdom seem to consider the Queen fragile and not deserving of the throne (Dardanus is one of those people at first), she's a woman looking to give up control in the bedroom, trust someone for once and have someone see her for herself and not her title. Even though the entire story is told from Dardanus' point of view, all that came across clearly which I think says a lot about Ms. Draven's storytelling ability. I was completely engrossed in this story and if this is an example of her writing, I will definitely be looking for more by her.",positive,book
1128,"I've appreciated all of the characters and how believable they are.  The plot is very interesting.  I stayed up and read since I did not want to put the book down...Well, I didn't want to close my Kindle :)  I have already purchased the rest of the series.  Lauren, please write quicker.",positive,book
1131,"It doesn't matter that she looks as if she stepped off the pages of Penthouse; Hailey Jennison is socially inept when it comes to dealing with men. Currently her only glimpse of sex is the Friday night peep show her and her friends partake in. A construction worker across from her friend's apartment could put a Greek God to shame with all the muscles that adorn his body. Gage knows that the source of all his wet dreams for the past six months is part of the female group who ogle him every Friday night as he prances around in the nude. Deciding to take a chance he finds himself blackmailing the blond bombshell into a dinner date. Now all he has to do it keep his mouth from ruining the best shot he's ever had at love and lust combined.All you need on a blistering cold day is a hot cup of chocolate and a steaming hot book to cuddle up with. Enjoying the Show provides the steam with whipped cream on top. A total chick book with its quirky comedic parts: a group of women who put the ladies from Sex in the City to shame and a man even a grandmother would drool over. I found myself with an uncontrollable grin as I read how two beautiful people with less than stellar social graces came together for one fiery encounter after another. Marie Harte did an excellent job creating two characters, Gage and Hailey, you couldn't help but love as you laughed at their growing relationship. The added plus for this book is Gage's family; if only we all could grow up with such an eclectic and open mix.Indyreviewed for Joyfully Reviewed",positive,book
1162,"After being dumped by Billy Buchanan at her prom, Eden LaCroix has grown up and moved on.  Ten years is a long time to be hung up on someone.  But when Billy comes back into her life, Eden thinks that maybe a quick fling will finally get him out of her system.  Having her friend-with-benefits, Jon White Feather, show up only complicates the matter.Billy's escape on prom night is a mistake he's lived with for the last ten years.  Can he finally let himself fall in love?  Will Eden let love slip through her fingers again?Wicked Garden is a must-read for m&eacute;nage story fans.  So many issues got in the way of Eden and Billy, but now things are different for them.  I truly enjoyed their chemistry.  I could relate to the old feelings that kept coming up.  This is a wonderful ""second chance"" story.  And who doesn't want one of those?  The threesome steam up the sheets and the pages - you won't want to put it down.  Lorelei James hits another home run with Wicked Garden, and that's why I am Joyfully Recommending Wicked Garden.VivianReviewed for Joyfully Reviewed",positive,book
1214,"Garret and Haley were funny. I wished it was longer and more in depth. Leanne is a great writer, I will be reading more of her books",positive,book
1244,"This short story is a prequel to ""Eyes of Crow"" and is set after the modern world collapse. The story, characters, and action are interesting, and the ending was satisfying. I liked it and I think it makes a great free opening to a series.",positive,book
1310,"I loved this story it was unique and ALOT of sex. It felt like a guy was telling the story. I thought that was a nice touch since it is about two guys who fall in love and what would two guys do if they agree to have sex once and liked it, they would have sex all the time, all day if they could and oh did they ever! Enjoy!",positive,book
1332,"This book was not only steamy, but it made me laugh, too.  I really enjoyed the characters and the way the girls enjoyed &#34;watching the show&#34;.  This is a great read if you want some light entertainment and some hot and sexy scenes!",positive,book
1358,"If you are into werewolves then this one is for you! Keith and Abby's story is one that had to be told. This story does build a strong Alpha male into someone I would want for myself, but left me a tad disappointed with the Alpha female. Her struggles to be as strong as she should didn't ruin the overall effect of the story line, yet having read the entire series I was glad to see that Moira Roger's wasn't done with this female character. I truly enjoyed this and would recommend this one as definite summer reading!",positive,book
1366,"While I wholeheartedly agree that the lenghth of the book is disceptive that should not detract from an excellent story.  Give the publisher hell they deserve it.  Back to the story, it was great.  The author explores the fact tha HEA does not come without set backs and challenges.  The love of Z and Bella proves worthy of these challenges.  The story of the plastic surgeon and his wife was beautiful.  They are characters worthy of the series.  Inspite of its length the story rates a great read.",positive,book
1370,A very fine book chock full of ideas and action. I liked the characters and the twists and turns. If anything there was a bit too much detail about some aspects of the Longclaws world. But overall it was quite an enjoyable read.,positive,book
1393,"I enjoy these types of books and this one was right up there with the best.  A very good read.  Thanx to the author, job well done!",positive,book
1435,"Unbridled takes place in Texas, in a town that is amusingly called Two Mule. This well written novella is full of details. The characters are all true ranching Texans. Dani is a believable character, that is easy to like. The men in this book are sexy cowboys through and through. Rowe is a hard worker while Justin was always a hard player. The differences make each one appealing in their own way. The sex scenes are very erotic. This is not the story of a traditional love, but it is just as strong and romantic. I would recommend this book to anyone who likes hot Texans! - Ammie",positive,book
1452,"When I found this on audible I gave it a try. I had read positive reviews about the series and decided to listen this sequel. First of all,if you are like me, probably you will need to listen to it twice. The first time the initial ten minutes were confusing and I couldn't follow the story.  Kept listening and began to like it, especially when she is at the hospital and interacting with Lydia.  I decided on listening again and now this series is on my radar. The premise of Soul Screamers is interesting.  Kaylee gets this uncontrollable desire to scream.  Everybody thinks she gets panic attacks but it is something more. Her situation has a supernatural motivation that I find curious and I want to know more of this character.About the characters:I find Lydia a potentially great character. She is intriguing. She has an ability that could help Kaylee but I can't help but ask myself at what price to her own safety.  At the other side of the spectrum I see Kaylee's aunt.  She doesn't sound like someone Kaylee grew up with.  I don't feel to much empathy toward her.About the narration:It took me a little time to get used to Amanda Ronconi's style.  At the book's beginning she sounded detached, almost informative.  Her voice sounded in third person although she used pronouns ""me"" and ""I"" in her narration.  As the audio progressed she definitively was Kaylee.  As I mentioned in the previous paragraph, I listened to this audio twice.  The second time in my listening, Ronconi sounds detached at the same parts as well.I give a 4 to the story and a 3 to the narration.  Recommend My Soul To Lose for YA and Paranormal readers.",positive,book
1473,"Great introduction to a 'new-to-me' series. I loved the unique spin on werewolf lore and their having elemental powers. The chemistry between these characters was compelling and very steamy. i particularly liked the heroine and her kindness as the new queen.If this were a full-length novel, I think i would feel more invested in the characters and I could see this being a 4.5 or 5 star for me. I will definitely read more in this series as this short was enough of a teaser to want to know where the author will take the story.",positive,book
1491,"This collection of 26 Western Novels by Zane Grey took quite a while to read, however, I thoroughly enjoyedeach one, it was also the best bargain I have found.Many of the books were written around 1910 yet I would not been surprised if I was informed they were  writtenlast year.I would give this group of books my strongest recommendation.Billy",positive,book
1546,I don't want to give away the crazy twist that totally shocked me but I loved this book I was sad to see some people who I really liked die in the book but the ending made up for that sorta.. but don't take my word for it read this book!!!! I can't wait to read book ll.,positive,book
1559,The characters were the usual misunderstood but the storyline played out well.  Kept my interest and wanted to continually see what would happen.,positive,book
1562,"The Good:This was a good read with super hot love scenes and a surprisingly sweet premise.  Yes, there's some stuff that's hard to swallow, like that the super handsome hero is a virigin but miraculously knows all these awesome moves, however that's a pretty small part of the story.  I liked the fact that he was sweet and shy and reluctant to approach Jenny, but as soon as he does, sparks fly!The Bad:I honestly could have done without the whole attempted rape scene because it felt forced and unrealistic, but I guess that was really just so we could see why Will ended up the way he did.Bottom line:This is the first book I've read by this author and I'll be checking out more of her work for sure!",positive,book
1581,Great book~ it's about lost loves that reconnect. Hot sex scenes ~ even a threesome which it hot hot hot! I love the way the author talks in both sides ~ one chapter will be all about what's going on in the guys head then the other chapter will be whats going on in the girls head~ very clever!  Read more hot steamy book reviews on my blog iloveladyporn.com,positive,book
1673,"This was an entertaining, funny book and a fast read. If you're looking for a mindless, light escape for a few hours, this can fit the bill. However, I found the lack of editing a bit distracting. There were grammatical mistakes, typos, verb tense changes, etc. scattered throughout the book. I skipped over most of them, but some tripped me up while I was reading. However, given that I got this book for free, it was worth it.",positive,book
1715,Really enjoyed this book though I wished it were longer. The characters are great and their dynamic works. I highly recommend.,positive,book
1736,"I enjoyed this one. It was just a quick read that gets you flustered. The story, while kind of unbelievable was still very entertaining.Hunter and Mason haven't seen Claire in ten years and yet they want to marry her and love her and be with her. Pretty hard to believe. Especially, since Claire gives in so easily.I liked it, great quick read.",positive,book
1738,"Jules Verne is indeed an author you can rely on for fast flowing suspense, and I enjoy reading the classics written in the way that they were originally penned; it much more enjoyable for me. Children of all ages would benefit from reading this book eminence.",positive,book
1755,"I totally enjoyed this story!  I get a little frustrated with all the comments about editing during reviews, maybe we should start critiquing the art work on the cover next.  The reason I read reviews is to see if the novel will be interesting to read.  We are all very fortunate these days to have the excitement of e-books and indie authors.  This means that we get the freshness of new authors, some of them so determined to get their story out that they will type it out on a phone.  That is just so cool to me.  Big deal, there are a few typos, a few misspelled words,  (probably from auto editing, which I love to hate) but the main thing is the STORY!  This is a good one, I would probably give this book 5 stars, except it reviewed for 3 when I read it, and the next book in this trilogy is rated a 4.5, the third a 5, I want to have some where to go.  Times like these I wish there were 10 stars to review with.The story was fantastic, the characters were great, and the plot was very creative.  This is a really enjoyable book.  I don't really get why some people rated it so low.  What is not to like?  The main character is a nice likeable guy,  and the rest of his crew are good people too.  The bad guys, well some are truely bad, there are some not as bad, bad guys too. The plot can seem pretty simple at first, but like all good books, the plot swells & grows as time passes.  I would feel that any zombie lover would be missing out if they didn't read this book, I am so excited about the next 2 that I already bought them both.Read this book, you will absolutely be glad you did!",positive,book
1759,This is a short but well written book. I have enjoyed this series. The books are well written and the characters have depth.,positive,book
1766,"Grace Livingston Hill 's writings are classics. Her stories are entertaining and full of morality, purity, and integrity. It's refreshing to read books that can be passed on from mother to teenage daughter.",positive,book
1819,"The black cover looks nice and has a interesting texture.  The elastic strap keeps it closed, yet is easy to remove.",positive,book
1834,I always enjoy Lorelei's books especially when she makes the women such strong characters and so independent but does not leave you without hot romance. Was wondering if we would hear from the West boys in a series and was not disappointed by Blake.,positive,book
1873,"Cassie Jordan may be newly engaged but that doesn't stop her from thinking about the two men she left behind.  That's why she's heading back to her hometown in rural Idaho to confront her memories and feelings once and for all.Nice guy Kyle Watson and dark and brooding Alan Caine have known Cassie since she was just a little girl.  They'd been inseparable and as they grew up their feelings inevitably changed to a deep-seated desire which none of them addressed.Eventually Kyle and Alan's feelings result in a sexual frustration that needs to be assuaged so they turn to each other.  Unfortunately Cassie witnesses their encounter and jumps to the conclusion that they've chosen each other over her.  It's been three years since she last saw either of the men and she learns they now live and run a ranch together.  Kyle and Alan aren't stupid, they realize that Cassie would never choose one of them over the other so they'd agreed to share her - that had been before she'd run away.  Now that she's back it's up to them to convince Cassie that they love her and a relationship between the three of them could work.Sierra Dafoe has definitely won over many readers with her warmhearted, tender storylines.  Cassie, Kyle and Alan's unique relationship fascinated me because the men waited so long for Cassie to return to them.  Their love for her is obvious in everything they do.  One of my favorite things about this story is the differences between the men and how that plays into how she responds to each of them.  THE BOYS BACK HOME is a quick read that certainly doesn't lack for emotional impact or sexual tension.Chrissy Dionne (courtesy of Romance Junkies)",positive,book
1880,"I've read this book a couple times, mainly because I loved it so much. Everytime a new book in this series comes out, I start again from book 1. I loved this story because it takes place in an entire town of shifters. That's right, almost everyone is a shifter and you can't even find the town unless you are some how connected to it. Like Rachel, her aunt died and she's come to town for the reading of the will. Rachel doesn't realize it, but she's a special kind of shifter, like her aunt, she can choose which animal she turns into. Burke is the leader of his own pride and doesn't yet have a mate. Rachel's aunt was the keeper of the totem, which protects the town and helps keep outsiders out. Together, they must find the totem and find each other in the process. This book lays the foundation for the rest of the series and honestly I think it's one of my favorites. I would HIGHLY recommend it!!",positive,book
1895,"I like David and Jeremy from the earlier books in the series, namely Hidden Force and A Helping Hand. I am glad the abused David gets his HEA and there could not be a better choice than Jeremy to help this tormented man to heal. But close to 58% of the story is sex which is just too much for me. How do I count this. If you read it using Kindle it is easy especially when the first sex scene stops at 33% of the book. So while the sex is well written it is just too much. And why does a guy has to finally top or bottom, when he is reluctant initially, just to prove he is finally ready to take the plunge in a gay relationship. I like the plot, which is like an extension of the story in Hidden Force, and the guys. But this one just has too much sex even if well written.Hidden Force is still the best in the series.",positive,book
1910,"This book didn't really go the way I thought it would.  For one, I expected more action overall with the fact that Griffin is being hunted and I also didn't expect him to find out about Jarrah so quickly.  The dystopian society was a nice touch but I would have liked some more detail about it to make the backbone of the story a little stronger.  Overall I liked the story but, honestly, I think it would've been better if there had been more conflict; really the entire thing was just too EASY and that's a shame because I could see the potential for a more in depth story.",positive,book
1928,"I didn't like the title of the book it was god awful, However, I loved the book. I didn't understand the vocab in regards to the positions in the hospital, but I didn't think it was necessary to the story to really understand them.",positive,book
